iter	Passed	Remaining
437	2477	3179
438	2481	3171
439	2485	3163
440	2490	3156
441	2494	3148
442	2498	3141
443	2502	3134
444	2506	3126
445	2510	3118
446	2514	3111
447	2519	3103
448	2523	3096
449	2527	3089
450	2532	3082
451	2536	3075
452	2541	3068
453	2545	3060
454	2549	3053
455	2553	3046
456	2558	3040
457	2562	3032
458	2567	3025
459	2571	3018
460	2575	3011
461	2580	3004
462	2584	2997
463	2588	2990
464	2592	2983
465	2596	2975
466	2601	2968
467	2605	2961
468	2609	2954
469	2614	2947
470	2618	2940
471	2622	2933
472	2626	2926
473	2631	2919
474	2635	2912
475	2639	2905
476	2643	2898
477	2647	2891
478	2651	2884
479	2656	2877
480	2660	2870
481	2665	2864
482	2669	2856
483	2673	2850
484	2677	2843
485	2681	2836
486	2686	2829
487	2690	2822
488	2694	2815
489	2698	2808
490	2702	2801
491	2707	2795
492	2711	2788
493	2715	2781
494	2720	2775
495	2724	2768
496	2729	2762
497	2733	2755
498	2737	2748
499	2741	2741
500	2745	2734
501	2749	2728
502	2753	2721
503	2758	2714
504	2762	2707
505	2766	2701
506	2771	2694
507	2775	2688
508	2779	2681
509	2784	2674
510	2788	2668
511	2792	2661
512	2797	2655
513	2801	2648
514	2805	2642
515	2809	2635
516	2814	2629
517	2818	2622
518	2822	2616
519	2827	2609
520	2831	2603
521	2836	2597
522	2840	2590
523	2844	2583
524	2848	2577
525	2852	2570
526	2856	2564
527	2860	2557
528	2865	2551
529	2869	2545
530	2874	2538
531	2878	2532
532	2882	2525
533	2886	2519
534	2890	2512
535	2894	2506
536	2899	2499
537	2903	2493
538	2908	2487
539	2912	2480
540	2916	2474
541	2920	2468
542	2925	2461
543	2929	2455
544	2933	2449
545	2938	2443
546	2942	2436
547	2947	2430
548	2950	2424
549	2955	2417
550	2959	2411
551	2963	2405
552	2967	2398
553	2971	2392
554	2976	2386
555	2980	2380
556	2985	2374
557	2989	2368
558	2993	2361
559	2997	2355
560	3002	2349
561	3006	2343
562	3011	2337
563	3015	2331
564	3019	2324
565	3023	2318
566	3028	2312
567	3032	2306
568	3037	2300
569	3041	2294
570	3045	2288
571	3050	2282
572	3054	2276
573	3058	2270
574	3062	2263
575	3067	2257
576	3071	2251
577	3075	2245
578	3079	2239
579	3084	2233
580	3088	2227
581	3092	2221
582	3096	2215
583	3101	2209
584	3105	2203
585	3109	2196
586	3113	2190
587	3117	2184
588	3121	2178
589	3126	2172
590	3130	2166
591	3134	2160
592	3138	2154
593	3143	2148
594	3147	2142
595	3151	2136
596	3156	2130
597	3159	2124
598	3164	2118
599	3168	2112
600	3173	2106
601	3177	2100
602	3181	2094
603	3186	2088
604	3190	2082
605	3194	2076
606	3198	2070
607	3202	2064
608	3206	2058
609	3210	2052
610	3215	2047
611	3219	2041
612	3224	2035
613	3228	2029
614	3233	2024
615	3237	2018
616	3241	2012
617	3246	2006
618	3250	2000
619	3254	1994
620	3258	1988
621	3263	1983
622	3267	1977
623	3271	1971
624	3276	1965
625	3280	1959
626	3284	1954
627	3288	1948
628	3292	1942
629	3296	1936
630	3300	1930
631	3305	1924
632	3309	1918
633	3313	1913
634	3318	1907
635	3322	1901
636	3326	1895
637	3330	1889
638	3335	1884
639	3339	1878
640	3344	1872
641	3348	1867
642	3352	1861
643	3356	1855
644	3361	1849
645	3365	1844
646	3369	1838
647	3373	1832
648	3378	1826
649	3382	1821
650	3386	1815
651	3390	1809
652	3395	1804
653	3399	1798
654	3403	1792
655	3408	1787
656	3412	1781
657	3416	1775
658	3420	1769
659	3424	1764
660	3429	1758
661	3433	1753
662	3437	1747
663	3442	1741
664	3446	1736
665	3450	1730
666	3455	1724
667	3459	1719
668	3463	1713
669	3467	1708
670	3472	1702
671	3476	1696
672	3480	1691
673	3485	1685
674	3489	1680
675	3493	1674
676	3497	1668
677	3501	1663
678	3505	1657
679	3510	1651
680	3514	1646
681	3518	1640
682	3522	1634
683	3526	1629
684	3530	1623
685	3534	1618
686	3539	1612
687	3543	1606
688	3548	1601
689	3552	1595
690	3556	1590
691	3560	1584
692	3564	1579
693	3569	1573
694	3573	1568
695	3577	1562
696	3581	1556
697	3586	1551
698	3590	1546
699	3594	1540
700	3598	1534
701	3602	1529
702	3606	1523
703	3610	1518
704	3615	1512
705	3619	1507
706	3623	1501
707	3628	1496
708	3632	1490
709	3637	1485
710	3641	1480
711	3646	1474
712	3650	1469
713	3655	1464
714	3659	1458
715	3664	1453
716	3668	1447
717	3672	1442
718	3677	1437
719	3681	1431
720	3686	1426
721	3690	1420
722	3694	1415
723	3699	1410
724	3703	1404
725	3707	1399
726	3712	1394
727	3716	1388
728	3721	1383
729	3725	1378
730	3730	1372
731	3734	1367
732	3738	1361
733	3743	1356
734	3747	1351
735	3751	1345
736	3755	1340
737	3760	1334
738	3764	1329
739	3769	1324
740	3773	1318
741	3777	1313
742	3781	1308
743	3785	1302
744	3790	1297
745	3795	1292
746	3799	1286
747	3803	1281
748	3807	1275
749	3812	1270
750	3816	1265
751	3820	1260
752	3824	1254
753	3829	1249
754	3833	1243
755	3837	1238
756	3842	1233
757	3846	1228
758	3850	1222
759	3855	1217
760	3859	1212
761	3863	1206
762	3867	1201
763	3872	1196
764	3876	1190
765	3880	1185
766	3884	1180
767	3888	1174
768	3893	1169
769	3897	1164
770	3901	1158
771	3906	1153
772	3910	1148
773	3914	1143
774	3918	1137
775	3922	1132
776	3927	1127
777	3931	1121
778	3936	1116
779	3940	1111
780	3944	1106
781	3948	1100
782	3952	1095
783	3956	1090
784	3960	1084
785	3965	1079
786	3969	1074
787	3973	1069
788	3978	1063
789	3982	1058
790	3986	1053
791	3990	1048
792	3995	1042
793	3999	1037
794	4003	1032
795	4007	1027
796	4011	1021
797	4016	1016
798	4020	1011
799	4024	1006
800	4028	1000
801	4033	995
802	4037	990
803	4041	985
804	4045	980
805	4049	974
806	4054	969
807	4058	964
808	4062	959
809	4066	953
810	4070	948
811	4074	943
812	4079	938
813	4083	933
814	4087	927
815	4091	922
816	4096	917
817	4100	912
818	4105	907
819	4109	902
820	4113	896
821	4117	891
822	4121	886
823	4126	881
824	4130	876
825	4134	871
826	4139	865
827	4143	860
828	4148	855
829	4152	850
830	4156	845
831	4161	840
832	4165	835
833	4170	830
834	4174	824
835	4178	819
836	4182	814
837	4186	809
838	4191	804
839	4195	799
840	4199	793
841	4203	788
842	4207	783
843	4212	778
844	4216	773
845	4221	768
846	4225	763
847	4229	758
848	4233	752
849	4238	747
850	4242	742
851	4246	737
852	4250	732
853	4254	727
854	4258	722
855	4262	717
856	4267	712
857	4271	706
858	4275	701
859	4279	696
860	4284	691
861	4288	686
862	4292	681
863	4296	676
864	4301	671
865	4305	666
866	4310	661
867	4314	656
868	4318	651
869	4322	645
870	4327	640
871	4331	635
872	4335	630
873	4340	625
874	4344	620
875	4348	615
876	4353	610
877	4357	605
878	4361	600
879	4365	595
880	4369	590
881	4374	585
882	4378	580
883	4383	575
884	4387	570
885	4391	565
886	4396	560
887	4400	555
888	4405	550
889	4409	545
890	4413	539
891	4418	534
892	4422	529
893	4426	524
894	4430	519
895	4435	514
896	4439	509
897	4444	504
898	4448	499
899	4452	494
900	4456	489
901	4461	484
902	4465	479
903	4469	474
904	4474	469
905	4478	464
906	4482	459
907	4487	454
908	4491	449
909	4495	444
910	4500	439
911	4504	434
912	4508	429
913	4512	424
914	4516	419
915	4521	414
916	4525	409
917	4529	404
918	4534	399
919	4538	394
920	4542	389
921	4546	384
922	4550	379
923	4555	374
924	4559	369
925	4563	364
926	4568	359
927	4572	354
928	4576	349
929	4580	344
930	4585	339
931	4589	334
932	4593	329
933	4597	324
934	4602	319
935	4606	314
936	4610	309
937	4614	305
938	4618	300
939	4622	295
940	4626	290
941	4631	285
942	4636	280
943	4640	275
944	4644	270
945	4648	265
946	4652	260
947	4656	255
948	4661	250
949	4665	245
950	4670	240
951	4674	235
952	4678	230
953	4683	225
954	4687	220
955	4691	215
956	4695	210
957	4699	206
958	4703	201
959	4707	196
960	4712	191
961	4716	186
962	4720	181
963	4724	176
964	4729	171
965	4733	166
966	4737	161
967	4742	156
968	4746	151
969	4751	146
970	4755	142
971	4759	137
972	4763	132
973	4767	127
974	4772	122
975	4776	117
976	4780	112
977	4785	107
978	4789	102
979	4793	97
980	4798	92
981	4802	88
982	4806	83
983	4810	78
984	4814	73
985	4819	68
986	4823	63
987	4827	58
988	4831	53
989	4836	48
990	4840	43
991	4844	39
992	4848	34
993	4853	29
994	4857	24
995	4861	19
996	4865	14
997	4870	9
998	4874	4
999	4878	0
