iter	MultiClass
0	0.672311284
1	0.6541480484
2	0.6396336436
3	0.6283134961
4	0.6180357504
5	0.6104271619
6	0.602899929
7	0.5963312112
8	0.5901316061
9	0.5847363691
10	0.5803938621
11	0.5760376687
12	0.5725984935
13	0.5691059573
14	0.5663392331
15	0.5629746019
16	0.5587653832
17	0.5561524634
18	0.5537842402
19	0.5501201538
20	0.548273487
21	0.5460088547
22	0.5440263075
23	0.5422705769
24	0.5397394582
25	0.5378960756
26	0.5363637423
27	0.533511103
28	0.5315392428
29	0.5300971866
30	0.5277819564
31	0.5261748446
32	0.5247145499
33	0.5223481414
34	0.5211760128
35	0.5193829581
36	0.5177674351
37	0.5166824428
38	0.5154769926
39	0.5139829831
40	0.5126298777
41	0.5118915333
42	0.5094473922
43	0.5083722551
44	0.507458307
45	0.5064827861
46	0.5034655023
47	0.5025911414
48	0.5010945643
49	0.5003018286
50	0.499403406
51	0.4966387181
52	0.4959899382
53	0.4952635756
54	0.4942555298
55	0.4933079354
56	0.4922061994
57	0.4911534356
58	0.4901634588
59	0.4891316674
60	0.4883069246
61	0.4874288034
62	0.4862575799
63	0.4849213875
64	0.4839723177
65	0.4826767623
66	0.4810330707
67	0.4802409001
68	0.4786601431
69	0.477850946
70	0.4766699607
71	0.4758484527
72	0.4747345245
73	0.4740879287
74	0.4732554679
75	0.4726007099
76	0.471764815
77	0.4710534372
78	0.4700436476
79	0.4693447325
80	0.4685197259
81	0.4673498656
82	0.4662051625
83	0.465524238
84	0.465009927
85	0.4642803478
86	0.4636585747
87	0.4630514912
88	0.4621677001
89	0.4616099524
90	0.4609826237
91	0.4597230167
92	0.4582951401
93	0.4576854524
94	0.4571223178
95	0.4565563799
96	0.4556603361
97	0.4547676671
98	0.4537120887
99	0.4527987995
100	0.4520257117
101	0.4516087004
102	0.4510656359
103	0.4494651392
104	0.4487629126
105	0.4483375373
106	0.4476268999
107	0.4472048145
108	0.4464998079
109	0.4459845746
110	0.4454108852
111	0.4450199068
112	0.4444816087
113	0.4435893292
114	0.4431382772
115	0.4426903838
116	0.4420032852
117	0.4413596961
118	0.4407572074
119	0.439824043
120	0.4391738203
121	0.4386385722
122	0.4382312512
123	0.4377271579
124	0.4372202584
125	0.4366760791
126	0.4361458801
127	0.4356040818
128	0.4344649943
129	0.4339444486
130	0.4334687755
131	0.4328789336
132	0.4322583986
133	0.4310368484
134	0.4306896461
135	0.4301529964
136	0.4298313713
137	0.4294830659
138	0.4290481319
139	0.4282686502
140	0.4278384136
141	0.4275477638
142	0.4272577799
143	0.4266576869
144	0.4262037328
145	0.4257734298
146	0.4252308452
147	0.4245061636
148	0.4236143414
149	0.4227383976
150	0.4224635706
151	0.4220716314
152	0.421755177
153	0.4213110748
154	0.4210608625
155	0.4207472362
156	0.4201977466
157	0.419836076
158	0.4194827009
159	0.4186596998
160	0.4182963864
161	0.4178528597
162	0.4175519785
163	0.4171224838
164	0.4167727997
165	0.4164817868
166	0.4160981392
167	0.4156370046
168	0.4152931668
169	0.4149019555
170	0.4145835493
171	0.4143361568
172	0.4138875924
173	0.4133642396
174	0.4129814607
175	0.4124680883
176	0.412153088
177	0.4118403381
178	0.4115310326
179	0.4109415876
180	0.4101690691
